Category,Sub Category,Sub Sub Category,Link,Product Link,Product,Price,Location,Total Rating,Discount,Color,Storage,Quantity Left,Product detail,Rating&Reviews(Overall),5star,4star,3star,2star,1star,Review
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/xiaomi-redmi-8-3gb-ram-32gb-rom-i878420148-s2161838217.html?search=1,"Xiaomi Redmi 8 (3GB RAM, 32GB ROM)",RM459.00,Malaysia,1 Ratings,-8%,"Black
Red
Blue",32GB, ,"Xiaomi Redmi 8 (3GB RAM, 32GB ROM)",5.0/5.0,1,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/umidigi-power-3-4gb64gb-smartphone-android-10free-shipping1-year-umidigi-warranty-i656634550-s1395888967.html?search=1,"UMIDIGI Power 3 (4GB+64GB) Smartphone, Android 10,Free Shipping,1 Year UMIDIGI Warranty",RM649.00,China,21 Ratings,-20%,"Deep Gray
Green
Red",64GB,10,"6150mAh Monster Battery，18W Fast Charger.Now, battery worry is a thing ,your UMIDIGI Power 3 can last longer than ever. And the 18W Fast Charging gets you up and running in just a while.
10W Fast Reverse Charging,In-Box OTG Cable as Gift.With an OTG cable in the box and 10W reverse charging output, UMIDIGI Power 3 is not just a phone, but also a power bank to reverse charge all your other devices.
48MP AI Quad Camera,Ultra Wide-Angle and Macro Lens.With UMIDIGI Power 3's pro-grade AI quad camera system, you can choose between the ultra wide-angle lens for epic landscape shots, macro lens for close-up beauty, depth lens for great portraits and main camera for everyday moments.
6.53"" FHD+ FullView Display.More Screen, More Immersive.The bezel-less 6.53'' FHD+ FullView display with 4.50mm ultra-small in-screen camera brings you an expansive and uninterrupted view, making games and videos more immersive and exciting.
Performance Monster Helio P60,LPDDR4X Dual Channel RAM.Keep a blazing fast operating experience and optimize power consumption with the octa-core AI processor MediaTek Helio P60. Power 3’s LPDDR4X dual-channel flash memory has 50% higher efficiency, compared with the LPDDR3.
Multi-function NFC,Support Google Pay,With multi-function NFC supporting Google Pay, UMIDIGI Power 3 is not only your phone, but also your wallet.
Triple Color, Triple the Fun.All-new Midnight Green, classic Red and Space Gray let you love the Power 3 at first sight. And the 3D ergonomic body was designed for a better grip.",4.8/5.0,18,2,1,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/original-redmi-note-9-4gb-128gb-ready-stock-one-yaer-warranty-by-xiaomi-malaysia-i1013532291-s2695870499.html?search=1,ORIGINAL REDMI NOTE 9 (4GB + 128GB) | READY STOCK !! [ONE YAER WARRANTY BY XIAOMI MALAYSIA!,RM699.00, ,0 Ratings,-7%,"WHITE
GREY
GREEN",128GB,4,· 6.53’’FHD DotDisplay· Corning Gorilla Glass 5 Protection· Mediatek Helio G85· AI Quad Camera 48MP + 8MP + 2MP + 5MP · 13MP Selfie Cam· Dolby Atmos Dual Speaker | Low Blue Light Certification· 5020mAh | Fast Charging 18W · Back FingerPrint,0/5.0,0,0,0,0,0,['']
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/apple-iphone-7-plus-i359100821-s508757036.html?search=1,Apple iPhone 7 Plus,"RM1,699.00",Selangor,41 Ratings,-15%, , ,,"1 year Apple Malaysia Warranty
5.5 inch HD Retina Display with 3D Touch
A10 Fusion chip 64-bit quad-core processor
Static Home Button (pressure-sentitive button)
Water - Resistant body with IP67 certified
12MP Rear camera with optical image stabilization
7MP Front camer with auto-image stabilzation
Optical zoom at 2x, digital zoom up to 10x
Dual Stereo Speaker on top & bottom iPhone 7 Plus
New Wireless AirPod headphone (not included)",5.0/5.0,41,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/iphones-7-plus-128gb256gb-refurbished-i650592950-s1377370141.html?search=1,iPhones 7 Plus 128GB/256GB (REFURBISHED),"RM1,259.00",Malaysia,24 Ratings,-34%,"Matte Black
Red
Rose Gold",32GB,9,"1 year SupplierWarranty
5.5 inch HD Retina Display with 3D Touch
A10 Fusion chip 64-bit quad-core processor
Static Home Button (pressure-sentitive button)
12MP Rear camera with optical image stabilization
7MP Front camer with auto-image stabilzation
Optical zoom at 2x, digital zoom up to 10x
Dual Stereo Speaker on top & bottom iPhone 7 Plus
More information 010-3682134",5.0/5.0,23,1,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/xiaomi-redmi-note-9-4gb-ram-128gb-rom-original-malaysia-set-i1024638812-s3221744423.html?search=1,XiaoMi Redmi Note 9 (4GB RAM + 128GB ROM) - Original Malaysia Set,RM699.00, ,0 Ratings,-18%,"Green
Grey (FreeGift)
Green (FreeGift)
Grey
White (FreeGift)
White",128GB, ,"1 Year Xiaomi Malaysia Warranty
6.53"" DotDisplay Resolution:2340x1080 FHD+| 19.5:9
5020mAh (typ)* Supports 18W fast charge
MTK Helio G85
High-performance octa-core processor frequence:up to 2.0Ghz
48MP AI Quad Camera (48MP main camera+8MP ultra wide-angle camera + 2MP Macro camera + 2MP depth camera)
13MP In-Display Front Camera
4GB RAM + 128GB ROM",0/5.0,0,0,0,0,0,['']
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/apple-iphone-xs-256gb-brand-new-i1019358619-s2720114582.html?search=1,Apple iPhone XS 256GB ( Brand New ),"RM3,099.00",Federal Territory of Kuala Lumpur,6 Ratings, ,"Gold
Space Grey",256GB,5,"5.8-inch Super Retina display (OLED) with HDR11
IP68 dust and water resistant (maximum depth of 2 metres for up to 30 minutes)2
12MP dual cameras with dual OIS and 7MP TrueDepth front camera — Portrait mode, Portrait Lighting, Depth Control and Smart HDR
Face ID for secure authentication
A12 Bionic with next-generation Neural Engine
Wireless charging — works with Qi chargers3
iOS 12 with Memoji, Screen Time, Siri Shortcuts and Group FaceTime4",5.0/5.0,6,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/iphones-6s-128gb64gb32gb-95-as-new-condition-i828372449-s1963156010.html?search=1,iPhones 6s 128GB/64GB/32GB - 95% As New Condition,RM455.00,Malaysia,9 Ratings, ,"Space Grey
Silver
Rose Gold
Gold","32GB
128GB
64GB",3,"This product covered with 1 month warranty.Warranty void if the product has been open by Third Party.No warranty coverage for Liquid Damage, Drop damage or Human Made Damage.",4.6/5.0,6,2,1,0,0,"[{'Date': '2020-06-22', 'Time': '19:08 PM', 'Reviewer': 'by Tony', 'Comment': 'Wow it’s great I really appreciate thank so much I will order more one for my wife. Thanks', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/vivo-v17-pro-smartphone-8gb-ram-128gb-rom-i585460896-s1176836783.html?search=1,vivo v17 Pro Smartphone (8GB RAM + 128GB ROM),"RM1,499.00",Selangor,18 Ratings,-12%,"Knight Black
Crystal White",128GB, ,"Processor: Qualcomm Snapdragon 675AIE Octa-core
RAM/Storage: 8GB RAM+128GB ROM
Operating System: Andriod 9.0
Screen Size: 6.44inches
Resolution: 2400*1080 FHD+
Camera: Front 32MP+8MP/ Rear 48MP +8MP+2MP+2MP
Fingerprint: In-Display Fingerprint Scanning
Dimensions/Weight/Battery:159.00×74.70×9.80mm / 201.8g / 4100mAh
Sim Slot: Dual Sim
GPS/OTG/FM: Supported
Bluetooth: 5.0",4.6/5.0,16,0,0,0,2,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/new-model-xiaomi-poco-f2-pro-6gb-ram-128gb-rom-1-year-warranty-by-xiaomi-malaysia-i1052692785-s2863362614.html?search=1,[NEW MODEL!!] XIAOMI POCO F2 PRO (6GB RAM/ 128GB ROM) 1 YEAR WARRANTY BY XIAOMI MALAYSIA,"RM2,199.00",Selangor,2 Ratings, ,"Purple
Blue
Grey",128GB,5,"Band: 5G (subject to sim card compatibility) / 4G / LTE
Dimension: 163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in)
Processor Type: Qualcomm SM8250 Snapdragon 865
No of Cores: Octa Core
RAM: 6GB
Internal Storage: 128GB
Card Slot: No
Display (Inches): 6.67
Resolution (px): 1080 x 2400
Rear Camera: 64MP + 5MP + 13MP + 2MP
Front Camera: 20 MP
Operating System: Android 10, MIUI 11
Sim: Dual SIM
Battery Capacity: 4700 mAh",5.0/5.0,2,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/samsung-galaxy-s20-g985-black-blue-grey-8gb-ram-128gb-rom-67-inch-android-handphone-i800028374-s1863864138.html?search=1,"Samsung Galaxy S20+ (G985) (Black, Blue, Grey) - 8GB RAM - 128GB ROM - 6.7 inch - Android Handphone","RM3,699.00",Federal Territory of Kuala Lumpur,30 Ratings,-8%,"Black
Grey
Light blue",128GB,9,"6.7' Dynamic AMOLED 2X
Android 10,ONE UI 2
Octa-Core
Exynos 990
8GB RAM + 128GB Storage
microSD up to 1TB
Rear Camera : 64MP (F2.0) Tele + 12MP (F1.8) Wide + 12MP (F2.2) Ultra Wide
DepthVision
Front Camera: 10MP (F2.2)
IP68 Water resistance
4,500mAh
Bluetooth v5.0 + LTE
Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct
Dual SIM
Accelerometer, Fingerprint, Face Recognition
Box will be unsealed for warranty activation and quality check purposes.",4.6/5.0,25,1,2,0,2,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/xiaomi-mi-mix-2s-6gb-ram-64gb-rom-smartphone-free-shipping-i350364127-s493417138.html?search=1,Xiaomi Mi Mix 2s [6GB RAM / 64GB ROM] Smartphone Free Shipping,"RM1,799.00",Selangor,328 Ratings, , , ,1,Xiaomi Malaysia had confirmed Mi Phone that purchased between 11th April to 30th April will enjoy Additional 3 MONTHS WARRANTY!!Dual pixel AI dual cameraQualcomm SD845 Octa core Adreno 630Wireless Charging Available5.99 Full Screen Display with curved ceramic designAvailable Memory : 6GB RAM / 64GB ROMBattery - 3400mAhFinger Print - Finder print sensorOS - Android 8.x,4.7/5.0,278,25,7,5,13,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/eonet-2019-new-55-inch-mobile-phone-android-60-smart-phone-3g-wcdma-gsm-smartphone-dual-sim-card-octa-core-cellphone-512mb-ram-4gb-rom-i547680096-s1087046875.html?search=1,Eonet 2019 NEW 5.5 Inch Mobile Phone Android 6.0 Smart Phone 3G WCDMA GSM Smartphone Dual SIM Card Octa Core Cellphone 512MB RAM + 4GB ROM,RM160.90,China,7 Ratings,-46%,"Gradient Red
Gradient Black
Gradient Pink",4GB,,"Colorful Phone Back Cover
System Version:Android 6.0
Motherboard solution: MTK6580
CPU: Octa Core
Standby: dual SIM card (one standard SIM slot, one micro SIM slot)
Screen: 5.5 inch QHD LCD
Memory: 512MB RAM + 4GB ROM
Camera: 2.0MP Front Camera + 2.0MP Back Camera
Language: Multi-language support",4.7/5.0,6,0,1,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/malaysia-set-samsung-galaxy-a51-128gb-rom-6gb8gb-ram-smartphone-with-1-year-samsung-malaysia-warranty-i799584221-s1862152263.html?search=1,[Malaysia Set] Samsung Galaxy A51 (128GB ROM + 6GB/8GB RAM) Smartphone with 1 Year Samsung Malaysia Warranty,"RM1,169.00",Federal Territory of Kuala Lumpur,36 Ratings,-10%,"Blue
White (8GB RAM)
Blue (8GB RAM)
Black (8GB RAM)
White
Black",128GB,9,"6.5"" FHD+ sAMOLED Infinity-U Display
2.3GHz,1.7GHz
Octa-Core
Exynos 9611
6GB RAM, 128GB ROM / 8GB RAM, 128GB ROM
Expendable up to 512GB
Rear Camera : 48.0 MP (F2.0) + 12.0 MP (F2.2) + 5.0 MP (F2.4) +5.0 MP (F2.2)
Front Camera : 32MP (F2.2)
4,000 mAH Battery (15W Fast Charging)
WiFi + LTE
Bluetooth v5.0 + NFC
Dual Sim + MicroSD
Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, Virtual Proximity Sensing
Box will be unsealed for warranty activation and quality check purposes.",4.8/5.0,31,3,1,1,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/iphones-5s-16gb32gb-original-used-95-new-full-set-usa-set-ll-set-100-original-i552396985-s1098276315.html?search=1,iPhones 5s 16GB/32GB - Original Used 95% New Full Set ( USA SET / LL SET ) - 100% Original,RM239.00,Federal Territory of Kuala Lumpur,5 Ratings, ,"Silver
Space Grey","16GB
32GB",3,"4.0 IPS LCD capacitive touchscreen, 16M colors
iOS 7, upgradable to iOS 12.4
Dual-core 1.3 GHz Cyclone (ARM v8-based)
16/32GB, 1 GB RAM DDR3
Fingerprint (front-mounted), accelerometer, gyro, proximity, compass
Non-removable Li-Po 1560 mAh battery (5.92 Wh)
Order will ship within 1 working day",4.8/5.0,4,1,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/nokia-61-plus-black-4gb-ram-64gb-rom-smartphone-i437938202-s643161279.html?search=1,NOKIA 6.1 Plus BLACK (4GB RAM + 64GB ROM) Smartphone,RM699.00,Selangor,33 Ratings,-13%, , ,2,"Full HD+ 5.8"" display
4GB RAM, 64GB ROM
Android 10 now available
16/5MP dual sensor rear camera with AI enhancement
16MP front camera
Qualcomm Snapdragon 636 mobile platform
3060 mAh - charge up to 50% in 30 minutes with USB-C fast charging
3 years of monthly security updates and 2 years of software upgrades",4.6/5.0,28,2,0,1,2,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/ready-stock-xiaomi-redmi-note-9s-smartphone-6gb-ram-128gb-rom-original-one-year-xiaomi-malaysia-warranty-i925880945-s2320374234.html?search=1,[READY STOCK] XIAOMI Redmi Note 9S Smartphone (6GB RAM + 128GB ROM) | Original One Year XiaoMi Malaysia Warranty,RM866.00,Malaysia,5 Ratings,-4%,"GLACIER WHITE
INTERSTELLAR GRAY
AURORA BLUE",128GB,2,"1 Year Xiaomi Malaysia Warranty
6.67inches FHD Dot Display screen, 107.4 cm (~84.5% screen-to-body ratio)
Qualcomm Snapdragon 720G
Quad Main Camera with 48 MP, f/1.8, 26mm (wide), 8MP, 5MP, 2MP
16 MP Selfie Camera
5020mAh High Capacity Battery
18W Fast Charge
6GB RAM + 128GB ROM",5.0/5.0,5,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/ready-stocktop-selling-rm535-y15-4gb-ram-64gb-rom-free-gift-worth-rm-200-to-choose-smartphone-cheap-i528038963-s1592380729.html?search=1,[READY STOCK][TOP SELLING RM535] Y15 (4GB RAM 64GB ROM) [FREE GIFT WORTH RM 200 TO CHOOSE] smartphone cheap,RM535.00,Kedah,74 Ratings,-11%,"Y15RED_545
Y15BLUE_545
Y15BLUE_599
Y15BLUE_579
Y15BLUE_559
Y15RED_599
Y15RED_559
Y15RED_579",64GB,11,"6.35 inches Halo FullView™ Display
MediaTek Helio P22 (MT6762) Octa Core Processor
64GB ROM + 4GB RAM (Y15)
13 MP + 8 MP + 2 MP Rear Camera
16 MP Front Camera (Y15)
5000mAh (Non-removable)",4.8/5.0,70,0,2,0,2,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/samsung-galaxy-a21s-6gb-ram-64gb-rom-original-smartphone-1-year-samsung-malaysia-warranty-i1072862009-s2950258554.html?search=1,Samsung Galaxy A21s (6GB RAM + 64GB ROM) Original Smartphone - 1 Year Samsung Malaysia Warranty,RM879.00, ,0 Ratings,-6%,"Black
White
Blue",64GB,,"Dimension: 163.7 x 75.3 x 8.9mm
CPU Speed: 2.0GHz
CPU Type: Octa-Core
Display (Inches): 6.5
Resolution (px): 720 x 1600 (HD+)
Rear Camera - Resolution (Multiple) 48.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
Front Camera - Resolution 13.0 MP
RAM Size: 6GB
ROM Size: 64GB
Sim: Dual SIM
Battery Capacity: 5000 mAh",0/5.0,0,0,0,0,0,['']
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/xiaomi-redmi-8a-smartphone-2gb-ram32gb-rom-blackbluered-original-import-set-i598398495-s1230248842.html?search=1,Xiaomi Redmi 8A Smartphone [2GB RAM/32GB ROM] Black/Blue/Red - Original Import Set,RM399.00,Selangor,56 Ratings, ,"Red
Black
Blue",32GB,12,"Dimensions 156.48mm x 75.41mm x 9.40mm
Weight 190g
Battery capacity 5000 mAh
Screen size 6.22 inches
Resolution 720 x 1520 pixels
Processor Octa-core Qualcomm Snapdragon 439
RAM 2GB
Internal storage 32GB
Expandable storage up to 512GB
Rear camera 12-megapixel
Front camera 8-megapixel
Operating system Android 9 Pie
Supports Dual SIMs
Supports 4G/LTE
1 Year Warranty by Local Supplier",4.9/5.0,51,4,1,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/umidigi-f2-6gb128gb-smartphone-android-10free-shipping1-year-umidigi-warranty-i651900324-s1381150036.html?search=1,"UMIDIGI F2 (6GB+128GB) Smartphone, Android 10,Free Shipping,1 Year UMIDIGI Warranty",RM869.00,China,20 Ratings,-20%,"Blue
Black",128GB,5,"See More, See Closer,48MP AI Quad CameraWith UMIDIGI F2’s pro-grade AI quad camera system, you can choose between the ultra wide-angle lens for epic landscape shots, macro lens for close-up beauty, depth lens for great portraits and main camera for everyday moments.
32MP AI Selfie MasterUMIDIGI F2's 32MP high-resolution selfie camera captures the most delicate facial details and intelligently combines four pixels into one larger pixel for brighter, clearer selfies. All-new AI beautify can enhance your facial features for stunningly gorgeous results.
6.53'' FHD+ FullView Display,More Screen, More Immersive.The bezel-less 6.53'' FHD+ FullView display with 4.50mm ultra-small in-screen camera brings you an expansive and uninterrupted view, making games and videos more immersive and exciting
The UMIDIGI F2’s best-in-class 6GB+128GB high-speed memory works to unleash AI Master Helio P70 processor performance in game scenarios where it counts. With LPDDR4X dual channel RAM and UFS 2.1 flash storage, UMIDIGI F2 makes operation effortless and allows you to be more effective in completing your tasks.
With an industry-leading 5150 mAh battery and AI power management, the UMIDIGI F2 puts enormous power in your hands, while the 18W Fast Charging gets you up and running in just a while.
With multi-function NFC supporting Google Pay, UMIDIGI F2 is not just your phone, but also your wallet
The newest Android you want it. System-wide dark theme, live caption, privacy controls and… the UMIDIGI F2 offers more features than ever on the fastest and smoothest pure stock Android 10.
120° Ultra-Wide Angle Camera,Capture A Bigger WorldIncredible 13MP 120° ultra wide-angle lens with AI correction to prevent distortion. Capture as wide as your eyes can see.",4.8/5.0,17,2,0,1,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/start-from-rm1069free-gifts-up-to-17-pcs-rm550-realme-6-8gb-ram-128gb-rom-original-malaysia-set-with-15-years-warranty-under-realme-malaysia-handphone-new-i964680507-s2484462113.html?search=1,[START FROM RM1069][FREE GIFTS UP TO 17 PCS RM550] REALME 6 (8GB RAM + 128GB ROM) Original Malaysia Set With 1.5 Years Warranty under REALME Malaysia handphone new,"RM1,064.00",Kedah,17 Ratings,-18%,"BLUE PACKAGE X
BLUE PACKAGE A
BLUE PACKAGE B
BLUE PACKAGE C
WHITE PACKAGE X
WHITE PACKAGE A
WHITE PACKAGE B
WHITE PACKAGE C",128GB,11,"CHAT US GET VOUCHER FOR PACKAGE X, PACKAGE A
1.5 Years EXTENDED Warranty
realme UI Based on Android 10
6.5-inches IPS LCD with 90Hz Smooth Display (2400 by 1080 pixels)
Helio G90T
8GB+128GB
Front: 16MP
Rear: 64MP+8MP+2MP+2MP
4300mAh, 30W VOOC Flash charging power",4.9/5.0,16,1,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/ready-stock-xiaomi-pocophone-f2-pro-smartphone-256gb-rom-8gb-ram-1-year-warranty-by-xiaomi-malaysia-i1039786009-s3216308687.html?search=1,[READY STOCK] Xiaomi Pocophone F2 Pro | Smartphone | 256GB ROM | 8GB RAM | 1 Year Warranty by Xiaomi Malaysia,"RM2,399.00",Federal Territory of Kuala Lumpur,9 Ratings,-20%,"White
Purple
Gray
Blue",256GB,5,"PRE - ORDER : Delivery 29th May 2020 Onwards
Qualcomm® Snapdragon™ 865 flagship platform
8GB + 256GB / 6GB + 128GB
6.67” AMOLED Full Screen Display
64MP quad rear camera
20MP pop-up front camera
4700mAh(typ) / 4600mAh(min)*
Dual SIM card ① | Dual Nano-SIM slot
Supports Google Pay
MIUI For POCO",5.0/5.0,9,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/7-plus-128gb256gb-used-99-new-with-full-box-set-i706958651-s1540862242.html?search=1,"7 Plus 128GB/256GB Used , 99% New with Full Box Set","RM1,199.00",Malaysia,35 Ratings,-48%,Gold,"32GB
128GB
256GB",,"5.5 inch HD Retina Display with 3D Touch
A10 Fusion chip 64-bit quad-core processor
Static Home Button (pressure-sentitive button)
12MP Rear camera with optical image stabilization
7MP Front camer with auto-image stabilzation
Optical zoom at 2x, digital zoom up to 10x
Dual Stereo Speaker on top & bottom iPhone 7 Plus",4.9/5.0,34,0,1,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/ready-stock-lenovo-tab-7-mini-tablet-free-tablet-stand-flip-case-screen-protector-2gb-ram-16gb-rom-i491732717-s874938738.html?search=1,Ready Stock !! LENOVO TAB 7 Mini Tablet FREE Tablet Stand + Flip Case + Screen Protector ( 2GB RAM + 16GB ROM ),RM172.00,Federal Territory of Kuala Lumpur,6 Ratings,-70%,"Gold
Red
Silver
Black",16GB,,"RAM : 2 GB
Internal Storage : 16GB ROM
Sim Card : Dual Sim Dual Standby
Resolution (px) : HD 1024 x 600 pixels
Camera 1.9MP (Rear) , 0.3 MP (Front)
Battery : 2000mAh",4.8/5.0,5,1,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/malaysia-set-vivo-y15-64gb-rom4gb-ram-smartphone-with-1-year-vivo-malaysia-warranty-i908004291-s2255602310.html?search=1,[Malaysia Set] Vivo Y15 (64GB ROM/4GB RAM) Smartphone with 1 Year Vivo Malaysia Warranty,RM559.00,Federal Territory of Kuala Lumpur,91 Ratings,-7%,"Red
Burgundy Red (Freebies)
Phantom Black (Freebies)
Black",64GB,,"Processor:Mediatek Helio P22
RAM/Storage: 4GB RAM+64GB ROM
Operating System: Andriod 9.0
Screen Size: 6.35"" inches
Resolution: 720 × 1544HD+
Camera: Rear -13MP + 8MP + 2MP, f/2.2,f/2.2, f/2.4
Dimensions/Weight/Battery:159.43 x 76.77 x 8.92mm /190.5g/ 5000mAh
Sim Slot: Dual Sim
GPS/OTG/FM: Supported
Bluetooth: 5.0",4.8/5.0,81,3,7,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/vivo_v19-8gb-ram-128gb-rom-hole-punch-display-1-year-warranty-by-vivo-malaysia-i939900167-s2372638142.html?search=1,"VIVO_V19 (8GB Ram + 128GB Rom) Hole Punch Display, 1 Year Warranty By Vivo Malaysia","RM1,699.00",Selangor,4 Ratings, ,"Silver
Black",128GB,9,"Band 4G / LTE
Processor Type Snapdragon 712
No of Cores Octa Core
RAM 8 GB
Internal Storage 128GB
Card Slot Yes
Display (inches) 6.44
Resolution (px) FullHD+ Super AMOLED Ultra O Screen Display
Rear Camera QUAD 48MP+8MP+2MP+2MP
Front Camera Dual Camera 32MP + 8MP
Operating System Android 10
Sim Dual SIM
Battery Capacity 4500 mAh battery | FAST Charging",5.0/5.0,4,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/honor-9x-pro-6gb-256gb-phantom-purple-smartphone-i927884410-s2327106815.html?search=1,HONOR 9X Pro 6GB + 256GB - Phantom Purple Smartphone,RM999.00,Malaysia,1 Ratings, , , ,,"6.59 Inches
EMUI 9.1
6GB RAM
256GB Storage
16M,F/2.2 aperture Front Camera
48M+8M+2M, F/1.8 +F/2.4+F/2.4 aperture Rear Camera
2340 x 1080 Resolution
4000 mAh Battery",5.0/5.0,1,0,0,0,0,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/ready-stock2-years-warrantyhuawei-nova-7i-8gb-ram-128gbgb-rom-i820564989-s1928314142.html?search=1,Ready Stock!!!(2 Years Warranty)Huawei Nova 7i (8GB RAM +128GBGB ROM),"RM1,060.00",Johore,47 Ratings,-12%,"Black,Combo A
Green,Combo E
Green,Combo D
Green,Combo C
Green,Combo B
Green,Combo A
Sakura Pink,Combo D
Sakura Pink,Combo C
Sakura Pink,Combo B
Sakura Pink,Combo A
Black,Combo E
Black,Combo D
Black,Combo C
Black,Combo B
Sakura Pink,Combo E",128GB,1,"Dimensions :159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in)
Weight :183 g (6.46 oz)
SIM :Hybrid Dual SIM (Nano-SIM, dual stand-by)
Display:6.4 inches (LTPS IPS LCD capacitive touchscreen, 16M colors)
Operating System :Android 10.0; EMUI 10
Chipset :HiSilicon Kirin 810 (7 nm)
Memory :NM (Nano Memory), up to 256GB (uses shared SIM slot)
Internal Storage :128GB 8GB RAM
Main Camera :48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.4, (ultrawide)
2 MP, f/2.4, 27mm (macro), 1/5.0"", 1.75µm
2 MP, f/2.4, (depth)
Battery : Non-removable Li-Po 4200 mAh battery
Charging : Fast Charging40W",4.9/5.0,45,1,1,0,0,"[{'Date': '2020-06-22', 'Time': '21:26 PM', 'Reviewer': 'by noraini O.', 'Comment': '', 'Like': '0'}]"
